# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2043
#@/user_id	Home-PC
a 	啊	c=0 d=0.000171216 t=2043
fa xian 	發現	c=1 d=0.000633025 t=2043
fa yi xia 	發一下	c=2 d=0.974069 t=2043
fan 	飯	c=0 d=1.3776e-05 t=2043
fan hui 	返回	c=4 d=0.152631 t=2043
fan hui zhi 	返回值	c=4 d=0.156718 t=2043
fan kun 	犯困	c=1 d=0.00189223 t=2043
fan qiang 	翻牆	c=1 d=0.0192547 t=2043
fan yi 	翻譯	c=3 d=0.508532 t=2043
fang 	放	c=2 d=0.597883 t=2043
fang an 	方案	c=1 d=0.913931 t=2043
fang shi 	方式	c=2 d=0.00134589 t=2043
fang shi ma 	方式嗎	c=1 d=0.000141955 t=2043
fei pang 	肥胖	c=0 d=1.53011e-05 t=2043
fei pang ma 	肥胖嗎	c=1 d=0.000153778 t=2043
fen pei 	分配	c=5 d=0.562067 t=2043
fen pei nei cun 	分配內存	c=1 d=0.0368832 t=2043
fen xi 	分析	c=6 d=0.11338 t=2043
fen zhi 	分支	c=3 d=0.103506 t=2043
feng bao 	封包	c=2 d=0.036104 t=2043
fu 	副	c=0 d=1.27806e-05 t=2043
fu 	符	c=1 d=0.000740997 t=2043
fu hao 	符號	c=2 d=0.00115394 t=2043
fu wu qi 	服務器	c=1 d=0.0131675 t=2043
fu zhi 	賦值	c=1 d=0.000107287 t=2043
gai 	改	c=9 d=0.283336 t=2043
gai 	該	c=3 d=0.322387 t=2043
gai bian 	改變	c=1 d=0.000749879 t=2043
gai guo 	改過	c=1 d=0.00960953 t=2043
gai he 	改和	c=1 d=0.000754089 t=2043
gai le 	改了	c=2 d=0.332757 t=2043
gai wan le 	改完了	c=1 d=0.028297 t=2043
gai zen me 	該怎麼	c=1 d=0.00341356 t=2043
gai zen me zuo 	該怎麼做	c=1 d=0.00332928 t=2043
gan nv er 	乾女兒	c=0 d=0.0532592 t=2043
gan nv er geng gai 	乾女兒更改	c=1 d=0.535261 t=2043
gao xiao 	高效	c=1 d=8.52434e-05 t=2043
ge 	個	c=0 d=0.0369723 t=2043
ge ge 	哥哥	c=0 d=6.02152e-05 t=2043
ge shi 	格式	c=3 d=0.0226344 t=2043
ge shi shuo ming fu 	格式說明副	c=1 d=0.000128446 t=2043
gei chu 	給出	c=1 d=0.00591656 t=2043
gei ni 	給你	c=1 d=0.0122161 t=2043
gen ju 	根據	c=1 d=0.23457 t=2043
geng ai 	更愛	c=1 d=0.484325 t=2043
geng gai 	更改	c=3 d=1.58457 t=2043
geng xin 	更新	c=1 d=6.84094e-05 t=2043
gong 	工	c=1 d=0.00158844 t=2043
gong cheng 	工程	c=1 d=0.00105946 t=2043
gong ju 	工具	c=1 d=0.00474815 t=2043
gong neng 	功能	c=1 d=0.0508 t=2043
gong neng ne ge 	功能呢個	c=1 d=0.392586 t=2043
gong zuo ren yuan 	工作人員	c=1 d=0.0581343 t=2043
gu 	孤	c=0 d=9.51553e-06 t=2043
gu ming si yi 	顧名思義	c=1 d=0.818731 t=2043
gu wu 	鼓舞	c=1 d=9.51553e-05 t=2043
gua jian 	掛件	c=1 d=0.000443861 t=2043
gua le 	掛了	c=1 d=0.697676 t=2043
gua qi 	掛起	c=1 d=0.000407691 t=2043
guan 	管	c=0 d=3.25548e-05 t=2043
guan bi 	關閉	c=5 d=0.0469162 t=2043
guan dao 	管道	c=1 d=0.000244817 t=2043
guan wang 	官網	c=1 d=0.00096344 t=2043
guang xi 	廣西	c=1 d=0.000825105 t=2043
guo 	過	c=4 d=0.0398704 t=2043
guo jian 	過檢	c=5 d=0.372016 t=2043
ha sang 	哈桑	c=1 d=0.00744658 t=2043
hai dei 	還得	c=1 d=0.0898153 t=2043
hai hui 	還會	c=1 d=0.00178203 t=2043
hai mei 	還沒	c=0 d=0.0701173 t=2043
hai mei xia hao ma 	還沒下好嗎	c=1 d=0.704688 t=2043
hai shi 	還是	c=4 d=0.0996994 t=2043
hai shi ne ma 	還是呢嗎	c=2 d=0.0126717 t=2043
hai xu yao 	還需要	c=1 d=0.755784 t=2043
hai you 	還有	c=2 d=0.0377787 t=2043
han shu 	函數	c=7 d=1.78867 t=2043
han shu biao 	寒暑表	c=1 d=0.212248 t=2043
